,rest_name,street_num,street_name,restaurant_rating,cuisine_type,phone_number
1,Mr. Fries Man,8147,Baltimore Ave,4.5,American,(240) 297-9141
2,The Hall CP,4656,Hotel Dr,4,American,(301) 403-8961
3,2Fifty Texas BBQ,4700,Riverdale Rd,4.5,Barbeque,(240) 764-8763
4,The Jerk Pit,9078,Baltimore Ave,3,Carribean,(301) 982-5375
5,Looney's Pub,8150,Baltimore Ave,3.5,American,(240) 542-4510
6,Jimmy John's,7410A,Baltimore Ave,3.5,Sandwhich Shop,(301) 927-7827
7,Pot Belly Sandwhich Shop,7422,Baltimore Ave,3.5,Sanwhich Shop,(301) 209-0635
8,Panda Expres,7316,Baltimore Ave,2.5,Chinese,(301) 209-7501
9,Ledo Pizza,4509,Knox Rd,3.5,Pizza,(301) 422-8122
10,Northwest Chinese Food,7313 E,Baltimore Ave,4,Chinese,(240) 714-4473
11,Onikama Ramen Bar,3711,Campus Dr,4,Japanese,(301) 866-7008
12,College Park Diner,9206,Baltimore Ave,4,American,(301) 441-8888
13,Taqueria Habanera,8145,Baltimore Ave,4,Mexican,(240) 241-4486
14,The Board and Brew,8150,Baltimore Ave,4,American,(240) 542-4613
15,Krazi Kebob,5110,Roanoke ,4,Indian,(301) 864-5150
16,Kangnam BBQ,8503,Baltimore Ave,3.5,Korean,(301) 220-1635
17,The Spot Mini,4207,Knox Rd,4.5,Vietnamese,(240) 487-6289
18,LaTao Hotpot,8700,Baltimore Ave,4.2,Chinese,(301) 441-1111
19,Playa Bowls,4507,College Ave,4.6,Hawaiian,(301) 851-5378
20,NuVegan Cafe,8150,Baltimore Ave,4.4,Vegan,(240) 553-7567
21,Ritchie's Columbian Restaurant,7313,Baltimore Ave,5,Columbian,(240) 764-7422
22,Milk & Honey Cafe,10280,Baltimore Ave,4,American,(301) 477-2195
23,SEOULSPICE,4200,Guilford Dr,4.5,Korean,(301) 979-0789
24,Bun Cafe,6150,Greenbelt Rd,5,American,(301) 345-0500
25,Aroy Thai Restaurant,4511,College Ave,4,Thai,(301) 864-5550
